Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Attention,Meditation,EEGValue,BlinkStrength,State
196173,21322,3688,21285,11199,4774,1219,335,14,61,205,62,chill
1131291,106819,8716,64153,14207,13142,5366,4651,20,64,-153,62,chill
402632,14592,27651,11791,8235,3821,3165,1402,27,80,65,60,chill
1722147,394481,83312,136357,115317,48363,31406,13237,24,78,-41,38,chill
1449046,233482,75553,24078,19890,30281,19187,6974,23,70,187,40,chill
448607,491367,46951,137024,41568,39238,7667,6787,20,64,34,37,chill
706119,103707,56060,14670,13272,7242,4303,1138,14,53,96,37,chill
111035,256409,2049,11909,9792,7201,4752,2529,1,30,-5,37,chill
2056580,582433,56234,67726,50958,24245,16559,4365,1,26,75,37,chill
2859326,2442141,25223,865240,112054,189075,65525,17397,1,29,55,37,chill
88572,164964,11387,38374,8664,6181,8170,1258,1,24,103,37,chill
100164,106452,44750,22357,13327,9132,5342,846,1,51,32,32,chill
293016,222920,35566,9318,7102,7463,3268,1922,1,50,178,31,chill
1241714,271791,44328,18061,261286,26436,14041,9982,1,38,-38,31,chill
1080775,417001,125576,12248,51841,24302,19406,2339,1,37,182,34,chill
317306,42913,19578,6773,21040,7327,1954,1390,8,30,-87,32,chill
110021,72704,16584,7829,13990,5474,2875,1341,17,37,313,32,chill
115058,194298,9765,19731,12332,8398,3120,2293,10,38,89,32,chill
2202747,354231,43175,13493,37096,28985,7390,3092,17,29,118,34,chill
1195741,463007,48739,28661,48615,28286,22843,1589,4,27,-33,34,chill
1696034,26124,15296,25695,11813,8449,3188,1736,20,50,160,34,chill
844600,233024,51590,28981,43723,12398,8773,3228,8,56,196,34,chill
336379,234268,6987,98740,25994,13408,11468,5469,10,66,-99,34,chill
624597,135503,8650,83771,63042,40754,12556,3239,17,56,-27,58,chill
1407219,309684,74189,27872,42179,61184,27381,12562,44,50,4,38,chill
654746,1023463,714807,58041,193715,108628,56105,19050,50,57,179,37,chill
1548264,229310,13953,47484,43317,36397,17053,5138,63,51,-51,37,chill
2980120,74020,254610,47016,23403,32754,34916,6377,54,69,96,66,chill
464016,676395,73935,92677,52459,45217,33279,21762,40,64,181,38,chill
826471,61461,39674,14508,11166,13711,7008,2763,35,48,8,46,chill
367776,50155,3172,13328,15127,41577,29743,4445,63,37,88,46,chill
129362,64095,6396,42767,52318,13689,9979,3451,70,43,11,46,chill
438315,190045,4495,13236,21334,21080,10683,4279,77,35,156,46,chill
50792,39933,7642,5595,7127,8749,1493,1792,80,23,108,46,chill
1227064,273981,26363,20623,14324,9133,10740,4888,44,21,16,46,chill
184300,65760,11317,9271,8055,3359,1611,1797,34,17,117,46,chill
43346,44791,1261,2156,2568,818,954,633,11,17,99,65,chill
1588475,101057,108145,15643,56021,19677,10694,6585,3,30,93,39,chill
282580,308088,56826,44354,26444,36963,11155,4968,30,37,181,47,chill
227987,54539,12266,4065,8642,6288,5801,1806,50,50,-4,47,chill
998587,307167,43698,31520,7455,7674,8158,4611,34,37,41,47,chill
1076450,356976,58207,20943,34313,34458,27405,15618,27,35,-12,47,chill
1656756,154508,30515,168104,35789,40054,28696,9231,29,47,-51,47,chill
1754915,467825,88365,18610,24374,87851,29678,9491,35,44,40,47,chill
160810,73872,76057,10189,9122,11725,10946,3913,50,60,117,34,chill
309984,22274,9452,5694,11658,6313,1508,1944,57,66,61,73,chill
637556,116468,23028,18434,14917,15747,16933,6359,56,54,73,46,chill
609663,52707,19515,5804,12808,20488,4696,2306,64,60,16,46,chill
1305785,104446,21487,9068,14745,12988,5247,8297,66,43,454,36,chill
854486,251959,42331,38353,20146,21768,16667,12203,54,40,-364,41,chill
905858,133309,22976,8894,19076,11663,9815,7356,50,35,137,87,chill
1805787,121024,7264,14066,79153,32245,14824,16516,48,21,-196,49,chill
2456373,288417,132401,78563,251748,79067,38234,19638,54,26,-121,37,chill
296879,111599,114588,11270,42490,46571,8482,8500,66,37,99,46,chill
675760,19812,15315,11602,18859,16535,4788,7800,87,47,37,55,chill
657250,209534,48255,24190,31284,25752,11399,4911,77,57,-8,72,chill
698291,128400,129638,32976,15052,18542,8824,5597,67,69,-12,32,chill
713764,208517,32763,76743,60395,12491,5437,19708,50,64,251,52,chill
238285,4986,2507,5920,4065,1642,397,754,35,69,-45,44,chill
1537377,121443,34685,40459,163784,55188,47846,18304,50,69,124,44,chill
404715,1284264,37515,33993,14889,45860,8346,12263,41,37,100,44,chill
2017108,660853,56336,53096,48292,33854,22354,16668,43,26,71,44,chill
248227,76762,10090,10564,5745,3321,2253,2355,29,13,140,44,chill
1304502,375910,41465,48398,79541,78716,21380,12867,23,8,-61,44,chill
551967,166232,49623,42799,74078,82715,11452,12505,48,27,282,40,chill
1030071,30859,15917,6312,27357,13655,10821,6478,87,30,36,49,chill
1110697,397513,19396,20377,15069,34568,25184,9324,78,24,82,49,fear
320621,81626,29508,19381,9366,8317,2933,1713,66,38,27,33,fear
568806,165272,4444,7637,14266,9780,4437,2107,48,21,1,71,fear
67429,23920,3015,4306,2333,2222,906,318,47,34,118,46,fear
460543,157754,11787,3272,21904,18460,14127,2749,37,16,-40,46,fear
1374257,570211,216807,356396,94297,68247,96555,12848,35,21,56,74,fear
530327,245249,46999,79964,64571,51511,68883,27183,44,41,359,49,fear
1013530,60170,18743,4462,20294,11701,2684,2456,53,40,178,48,fear
1663762,473210,60144,55025,20181,29772,10119,5646,44,51,217,43,fear
120774,21378,6332,3211,1234,3100,1272,1228,50,44,77,43,fear
762544,12172,4314,3636,1329,4538,4566,1800,54,48,3,51,fear
645910,108490,11557,7651,13337,8382,7791,4185,48,41,-29,51,fear
1017584,214549,17349,24167,8980,10897,7117,6650,44,40,51,51,fear
1389833,279488,207506,54243,25670,44674,18731,23411,41,47,66,51,fear
619678,38028,15940,5164,13314,11358,10192,4032,40,43,97,51,fear
1126508,338519,24560,29025,57433,11650,11163,7532,30,41,71,51,fear
589497,99644,23143,19243,20562,31241,7046,8436,50,47,-45,55,fear
514396,221314,42552,11037,21137,29541,25185,8242,54,30,106,55,fear
120822,64245,4558,10079,37468,15173,11269,1440,54,21,-53,61,fear
1317260,70364,30823,94879,36877,154585,50929,12203,88,35,-99,34,fear
1250606,291897,48214,44431,26961,88048,11648,10614,87,34,72,42,fear
1046138,379637,65964,22390,22107,27622,17321,7413,78,34,82,42,fear
166591,18398,4356,1833,2383,2628,509,363,67,41,35,40,fear
978693,222258,38861,21590,28588,24649,7465,4676,44,30,134,40,fear
1040070,68855,52750,37871,46529,36931,23928,5135,44,43,-6,40,fear
687391,105188,18092,3831,8943,10074,5245,1902,48,40,-18,47,fear
1081875,241367,25057,38591,23193,26796,14430,15303,47,38,-74,47,fear
716001,82522,5403,39843,12084,13438,11078,8424,48,47,23,74,fear
1663345,147051,27610,17800,23688,23569,8076,8046,41,37,13,74,fear
86120,98212,5964,9922,9223,5769,3593,2625,38,37,37,74,fear
1783957,73447,61637,19824,16064,13078,9273,6456,37,50,32,74,fear
156267,929191,127606,41562,67235,23402,17272,18582,20,38,-344,74,fear
674923,44083,14714,14766,10531,7934,2825,740,17,44,92,52,fear
535840,24424,34736,6813,12537,4357,3503,1210,20,66,16,52,fear
255853,50021,11619,6275,8840,5045,3306,1852,17,54,-46,52,fear
2110337,339700,10410,75835,58876,25788,16827,13895,29,57,-70,52,fear
2876368,193628,187196,10467,147107,28418,31917,15146,24,60,90,48,fear
417318,156256,22201,2874,39383,8184,8521,3556,21,37,42,46,fear
759792,17707,557,5728,5531,3507,1167,588,41,43,136,37,fear
91626,2230,1239,931,212,578,272,210,48,47,166,37,fear
979973,25934,1733,6739,7173,3159,1678,839,54,53,87,37,fear
338254,84816,98325,38363,24876,30914,10789,8691,53,63,-39,37,fear
1724601,492669,29277,53387,131381,86528,47704,27180,57,48,723,73,fear
1209951,75625,16883,12174,5487,11010,1592,1675,57,48,33,81,fear
74311,26493,12056,13612,10981,7040,3910,1877,61,57,411,81,fear
387496,12062,2287,2876,4966,3445,1822,1410,64,43,65,81,fear
1902618,61202,33864,27817,37524,23513,3638,3876,63,48,-279,37,fear
924128,83915,41841,2777,11340,9561,4382,2851,56,61,29,39,fear
702332,515074,35425,38284,26080,83053,45648,18891,56,43,3,41,fear
1594522,751493,60263,25609,36355,31938,7232,16918,40,34,113,41,fear
2078815,105572,25097,24683,56099,25965,26582,10226,40,24,272,42,fear
461059,10421,14186,7505,6205,3992,1598,959,44,35,120,86,fear
216935,152184,41441,3481,18950,9181,5513,4634,30,43,228,39,fear
32864,20212,3155,2377,5084,3010,1919,1558,43,50,-27,60,fear
1057604,371642,23508,124892,88261,73258,78814,14622,41,50,396,43,fear
1339927,276009,17029,12448,10136,10170,11284,3018,26,23,201,43,fear
1670494,63234,33886,45456,46461,32832,2856,8721,44,34,-86,98,fear
