Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Attention,Meditation,EEGValue,BlinkStrength,State
13687,21639,7879,14525,7372,16328,15211,4494,60,54,-134,36,fear
2298978,674339,36331,39168,121142,35779,6466,17211,57,44,13,60,fear
29126,20278,4082,7429,10354,31689,8167,10277,75,44,122,60,fear
272885,72815,4708,21620,32105,33358,29061,9261,74,38,77,60,fear
448816,43837,20557,16476,10799,28811,21393,12042,64,50,24,60,fear
821761,40577,11404,12402,26618,25602,19918,16905,80,51,1,60,fear
90151,26589,509,17701,3840,15653,25953,25986,81,60,-25,60,fear
11459,17265,5855,4926,18795,21622,35045,4366,87,50,1,60,fear
86342,131177,10417,10265,31165,17838,17024,28331,83,38,-17,60,fear
5270,9596,12657,4516,2839,11027,15562,5112,83,50,33,60,fear
3660,15205,14486,8646,12374,12343,13092,11444,81,54,58,60,fear
502601,59707,10785,3701,14305,16975,25517,8510,70,54,54,60,fear
131883,46429,17528,2872,19160,7281,17369,9656,69,63,11,60,fear
19693,10557,1376,4464,7122,18575,15140,5637,78,44,33,60,fear
278436,67941,6479,16310,27056,18239,28621,8808,75,34,49,60,fear
2724,3796,3355,8104,15646,12898,12840,14034,84,43,66,60,fear
0,0,0,0,0,0,0,0,128,0,20,60,fear
13825,12406,8803,7189,30728,20070,12034,21693,93,50,25,60,fear
327157,24546,4962,14338,9040,43873,18025,11151,100,53,-58,60,fear
166836,131954,16358,12991,18549,14603,15979,11184,88,44,-7,60,fear
6151,7536,1677,3677,10093,11343,12894,10397,69,34,73,60,fear
15772,21170,23468,13228,2299,9930,16471,13202,81,66,33,60,fear
49857,68234,7908,857,23587,13009,19319,5591,75,53,4,60,fear
35537,27765,12780,12700,7492,15750,10831,11100,64,64,45,60,fear
28623,11153,9121,10873,7317,16014,7856,15648,74,64,53,60,fear
102268,16060,9669,14578,15062,17616,20601,24330,81,57,34,60,fear
112617,9973,4236,3178,2241,8171,8182,7330,90,75,104,60,fear
95412,24421,2257,12565,12992,30083,26884,14472,96,64,-13,60,fear
189751,76630,60491,98547,10769,41585,44199,33406,87,74,84,39,fear
895726,336096,47294,62565,109876,20489,30501,7309,66,64,102,67,fear
148088,81601,16916,4169,6411,6383,5264,2285,50,57,68,67,fear
552935,83996,2186,6220,2093,3058,2856,1526,21,50,100,67,fear
182951,48409,31596,17132,30595,16959,11190,4981,23,40,344,67,fear
363983,159916,21951,7726,7163,10354,3235,1951,24,38,-121,59,fear
406932,22232,9887,15899,9279,22311,16694,16664,41,44,-30,59,fear
57648,13302,3812,1863,3201,3445,3676,3056,56,57,17,59,fear
58710,8000,17439,6304,22717,25257,7551,7515,67,54,125,59,fear
49052,64125,6465,14006,7638,15424,32729,7475,80,57,26,59,fear
278859,67165,50769,14988,7522,16872,11071,9347,67,64,37,59,fear
843033,23364,18357,15740,24669,27376,13380,5395,77,69,80,59,fear
342289,24000,1524,4327,6211,5324,3587,3088,63,57,135,59,fear
224200,8155,1932,6019,2860,6754,4723,1411,75,43,-52,59,fear
55047,21467,8962,15270,17830,35955,13366,23392,78,38,23,59,fear
80184,197798,101387,74702,30790,26637,24044,18852,57,69,-184,59,fear
559522,5292,1808,4128,1379,2265,776,946,53,74,189,59,fear
114480,12031,1914,1686,1691,1348,1084,538,34,70,66,59,fear
109394,66651,40609,11414,15313,17722,25246,3241,43,74,-189,59,fear
576737,112192,16749,22690,22940,23811,13667,24100,48,63,86,59,fear
6944,5853,4395,4149,4603,15453,17596,14908,63,56,0,59,fear
23736,5063,15142,7380,22103,28015,14493,5800,84,61,64,59,fear
88296,83481,17395,50021,23967,46594,25273,10397,91,60,61,59,fear
309251,323612,17170,18067,48379,37022,15856,11990,88,48,38,59,fear
94232,24508,20932,4620,7861,27360,15336,14050,83,50,52,59,fear
481435,164170,20662,24501,22503,20103,16803,9004,63,44,140,59,fear
51232,31320,10540,10048,13766,13796,11383,4614,61,41,129,59,fear
432777,64486,52176,7140,21096,14662,5117,2930,61,63,306,97,fear
140115,21228,22246,27946,22299,10761,12980,16125,50,74,5,97,fear
57137,39839,10275,2860,7101,5442,6760,2622,51,74,75,65,fear
30047,57447,10898,21428,8977,10197,7686,18567,43,75,6,65,fear
53648,45534,8957,41893,8174,14516,7356,4225,47,77,7,65,fear
202699,275829,49963,1836,9341,11259,8393,12356,35,56,-51,65,fear
634637,352181,16609,3957,9356,6530,7665,5106,17,40,-82,57,fear
421523,106560,63966,12404,15054,54593,13683,22478,26,41,73,85,fear
1200265,38588,16762,3203,6002,5554,9477,3846,21,35,-133,85,fear
965999,541610,56728,32650,21646,11132,24478,38487,16,34,124,62,fear
870605,89402,30052,34098,22001,28358,15950,21769,37,57,113,62,fear
1448559,39013,11988,5407,3623,4040,6862,7051,24,54,17,62,fear
69326,44166,25391,15553,16486,17496,6138,6401,30,57,486,62,fear
118650,16206,2298,3853,1854,1073,1190,454,41,66,-22,55,fear
87663,11940,2384,3499,3891,3329,2727,1066,41,61,38,55,fear
565041,9413,16051,20334,6927,15534,11337,5686,54,75,4,55,fear
1781294,157542,40127,52152,62561,18943,27645,19647,47,70,-11,55,fear
288054,87819,46143,3491,7598,12122,12357,7611,50,75,155,35,fear
252234,121851,50882,7185,30471,12446,16698,11276,29,70,24,61,fear
609932,138340,96401,28458,24439,11293,7175,12198,24,80,71,50,fear
164422,118662,16571,7572,20677,8050,3664,7784,21,66,42,50,fear
1018433,94065,5303,63205,41718,29039,10643,1507,21,66,300,50,fear
1311657,41423,79395,47745,10646,14895,2528,2781,21,78,180,50,fear
30670,63201,10928,2735,6403,2165,1425,946,13,70,58,50,fear
92083,36753,5739,23380,15289,11757,5241,1077,24,64,20,50,chill
77680,28108,22962,2127,9371,9911,3261,3530,37,80,84,50,chill
53940,28967,19884,19042,6840,13562,3309,2108,43,69,179,50,chill
161709,148150,23664,12399,10103,6607,2806,4316,44,70,76,50,chill
12245,20992,10317,3665,6106,9597,2466,2602,48,69,6,50,chill
26299,32472,20533,9347,5963,7557,2939,1845,44,70,-25,50,chill
363694,219007,94704,37978,55667,18315,14503,10449,34,66,32,35,chill
1145641,634136,287338,237938,55836,160100,13819,12365,44,80,9,35,chill
196086,191275,2332,11222,4869,7028,3945,2240,26,60,72,35,chill
906960,207130,71748,8301,6726,9727,7791,5020,17,57,114,35,chill
32317,95358,28638,8142,19750,7500,8887,2205,10,48,25,35,chill
101593,72029,23119,8452,13122,18726,9810,4859,24,64,32,35,chill
82067,22561,1634,5021,2560,2419,1627,803,26,53,13,35,chill
266072,78734,10282,13162,15212,12692,5248,3766,38,47,36,35,chill
20717,14822,6675,6566,9833,5423,2647,1769,50,50,40,35,chill
28633,118953,7541,11697,3397,3407,4893,1958,30,41,59,35,chill
63252,19678,903,2596,2357,5567,917,885,40,35,91,35,chill
39970,5123,13541,40761,28026,12177,3948,3242,44,54,103,35,chill
84954,20850,47292,6467,14546,8570,4054,1924,40,66,10,43,chill
17494,11803,4760,23001,10885,4194,2087,4219,53,88,77,43,chill
6452,9923,32601,1592,12897,4280,1716,1625,47,100,37,43,chill
12748,17335,5719,7802,7374,4329,3576,1724,37,97,58,43,chill
115404,35847,10870,57932,18442,41037,3559,2967,47,94,45,43,chill
37502,41400,23065,10313,7627,13562,4524,5607,51,84,11,43,chill
29190,154111,5630,5321,8394,5892,2735,6299,48,57,28,43,chill
78398,34631,46599,9563,4109,7335,1450,1986,44,67,22,43,chill
24049,10196,20210,7319,2828,5187,4227,4095,35,77,69,43,chill
349932,105115,21409,1740,1557,3205,6552,1679,17,64,-281,122,chill
2062623,622567,118030,147223,64015,30468,13101,3937,17,87,272,122,chill
136627,38756,14196,4331,6924,5124,1296,2001,17,74,60,46,chill
30154,138326,29704,45470,37487,30328,13606,12016,17,57,-59,46,chill
800542,119875,31285,34025,15009,37337,16966,3339,37,64,106,82,chill
496721,364060,37091,64983,24816,38402,19190,14795,44,57,-113,48,chill
816815,161176,15916,41487,27204,26569,17087,10832,47,54,-49,58,chill
1275016,144992,4335,75826,54647,20260,15651,9715,43,53,51,55,chill
1952742,482852,18712,26381,57674,30347,26826,6522,30,37,106,55,chill
126902,26128,3971,9496,5267,1667,2977,1085,24,41,236,55,chill
1435184,113930,1159,88611,17236,22869,24136,12319,24,50,171,93,chill
1014564,351483,83587,6096,25917,41760,11547,29606,26,43,-158,62,chill
189514,6238,5911,2512,3848,2264,3585,751,35,67,-200,62,chill
2464010,432852,25163,20693,47040,39328,54643,19255,40,51,-375,42,chill
640918,27027,22568,6519,2608,6339,3600,1825,40,56,-145,81,chill
1745437,794954,116713,77123,138828,50992,84952,33069,35,54,17,42,chill
601609,45690,10882,10362,12084,10906,11540,2658,35,44,73,44,chill
476107,57184,55570,49838,24073,39479,20213,7293,35,50,43,74,chill
218154,37527,21688,51796,77252,31410,13314,8043,51,61,124,74,chill
1865821,28012,16630,32943,42664,33678,23677,7830,61,66,16,74,chill
955220,233295,47546,19815,41544,13698,18067,2560,61,74,105,74,chill
446377,258109,35499,50609,89101,15930,6476,13008,47,60,140,74,chill
679135,85157,8328,10017,3187,2183,3058,725,24,48,35,74,chill
356463,158622,11547,31189,9845,16958,17879,4305,10,40,57,74,chill
1342346,342308,6565,47274,35909,21507,6984,5145,11,34,141,74,chill
224239,95518,12523,22178,11171,13077,4376,8251,17,35,6,74,chill
211259,28394,30276,19289,7496,6184,5172,1833,29,56,54,74,chill
120496,112541,23539,22243,21150,11503,12883,8249,27,60,18,74,chill
46484,53791,6564,97803,49216,23414,10161,3816,37,80,48,74,chill
50364,18663,846,5981,1281,3156,5441,1152,38,80,-50,71,chill
763103,33776,9081,13386,10535,11824,5229,2293,47,66,56,71,chill
177451,47007,90784,51660,32239,21535,13566,14197,50,84,27,71,chill
212764,65980,13764,18555,28793,12991,5980,5768,50,74,-34,71,chill
1804824,73617,31075,15970,21394,8281,9321,6452,44,78,40,71,chill
1410887,93083,30028,39850,20535,9948,3689,8284,35,83,68,71,chill
145838,89978,32859,57634,10439,19138,9933,6045,35,75,-51,71,chill
655427,108372,27615,22441,47404,15844,5331,3702,35,75,124,31,chill
960927,110622,36278,19400,61800,26071,15948,6819,43,67,109,31,chill
97235,9582,384,3565,2924,1026,674,875,41,56,92,31,chill
359882,14026,2655,2562,4873,7976,5381,1469,51,47,-53,31,chill
2119247,209933,45069,8424,18548,15937,5120,5909,47,43,100,31,chill
584161,225352,25500,81361,58290,39185,13571,9072,44,47,66,31,chill
1105792,18300,8480,8325,5784,8846,4061,1464,54,53,-18,31,chill
1085050,291587,32033,107193,46224,50756,17030,2833,43,60,56,31,chill
267183,100523,48029,86203,13098,17291,10564,2057,44,78,75,31,chill
89822,48831,2541,7078,7870,5599,2884,2466,43,67,92,31,chill
285538,57481,21679,3239,6749,11063,3864,4266,40,56,133,84,chill
218016,105867,10925,28402,10119,6489,10900,4624,35,41,266,84,chill
1501678,58008,13787,12532,6396,10907,4742,7776,38,51,-156,84,chill
2267492,622356,255276,128473,318027,29492,40656,31486,23,57,70,91,chill
1209112,52182,6205,14407,8835,8945,8647,3541,23,56,-22,91,chill
568996,113577,12448,12027,19406,7990,12151,4730,26,50,-68,50,chill
1130309,554231,350049,462488,289633,332461,290292,114610,30,57,-2048,40,chill
825324,71100,12789,8103,11405,10614,12735,29935,30,57,193,68,chill
160190,36789,7101,3295,6492,3962,3762,1437,41,53,257,68,chill
566800,763638,223728,534693,559456,253355,40800,65290,41,53,51,160,chill
1071601,510732,286018,264599,85003,186545,109021,84867,44,63,849,160,chill
1761890,45915,15840,3194,7255,10073,5238,4278,51,69,-49,160,chill
2380078,2466176,228185,117053,159333,92711,113385,28484,29,40,-21,31,chill
1872934,174045,193020,106134,81345,107801,33836,11752,34,41,-538,50,chill
469917,58447,16388,24359,11984,24406,7150,3266,37,44,-602,37,chill
3047321,131860,63055,15970,32991,9283,4141,13458,37,63,171,101,chill
9813,23452,12944,40305,30424,19685,16896,15627,57,81,49,101,chill
109176,255357,15933,5390,35630,29099,21260,14855,51,61,116,38,chill
1497378,326487,133407,26787,81868,43067,9182,9587,57,57,536,38,chill
0,0,0,0,0,0,0,0,128,0,125,50,chill
32511,45676,28350,31904,6351,15735,10282,9344,51,67,43,50,chill
108658,86203,21929,6594,5951,10579,7629,1559,37,63,23,50,chill
39826,55143,15087,20481,14036,11981,9998,2571,53,75,96,50,chill
72514,31478,5186,11537,9560,3531,3311,1123,40,67,60,50,chill
158077,42128,15885,20814,18295,11892,1352,4154,44,75,53,85,chill
